addr,id,cords,ctr,rank,desc,@img
18 POND VIEW DRIVE,2r50e,"-70.10668,41.24921",11,common,-,/Users/mikebaker/ack_json/common_bg.eps
72 POCHICK AVENUE,9ro22,"-70.07829,41.24902",16,common,-,/Users/mikebaker/ack_json/common_bg.eps
18 SOUTH SHORE ROAD,revyu,"-70.09835,41.25601",209,common,-,/Users/mikebaker/ack_json/common_bg.eps
39 WIGWAM ROAD,o61kz,"-70.03478,41.25118",351,common,-,/Users/mikebaker/ack_json/common_bg.eps
30 AHAB DRIVE,aojaw,"-70.13758,41.25610",381,common,-,/Users/mikebaker/ack_json/common_bg.eps
3 KINIKINNIK WAY,hg676,"-70.09928,41.25140",432,common,-,/Users/mikebaker/ack_json/common_bg.eps
11 CORREIA LANE,8axiz,"-70.10329,41.25430",434,common,-,/Users/mikebaker/ack_json/common_bg.eps
10 PEQUOT STREET,fao0z,"-70.08996,41.24675",547,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
18 SHERBURNE commonS,vfkt4,"-70.10307,41.25638",594,common,-,/Users/mikebaker/ack_json/common_bg.eps
19 GOLDFINCH DRIVE,j8z11,"-70.07220,41.26369",635,common,-,/Users/mikebaker/ack_json/common_bg.eps
132 OLD SOUTH ROAD,mt1hw,"-70.06173,41.26106",688,rare,Nantucket Auto Supply,/Users/mikebaker/ack_json/rare_bg.eps
9 BLUEBIRD LANE,9kcrn,"-70.07425,41.26341",759,common,-,/Users/mikebaker/ack_json/common_bg.eps
181 HUMMOCK POND ROAD,3x8lm,"-70.14180,41.26425",761,common,-,/Users/mikebaker/ack_json/common_bg.eps
33 MACYS LANE,19loi,"-70.06353,41.26330",768,common,-,/Users/mikebaker/ack_json/common_bg.eps
1 TEASDALE CIRCLE,ms729,"-70.06124,41.26256",803,common,-,/Users/mikebaker/ack_json/common_bg.eps
1A BENJAMIN DRIVE,dl9kk,"-70.10170,41.26159",873,common,-,/Users/mikebaker/ack_json/common_bg.eps
3 NOBADEER AVENUE,seazs,"-70.09610,41.24654",1041,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
9 WOOD LILY ROAD,udsij,"-70.09171,41.26157",1096,common,-,/Users/mikebaker/ack_json/common_bg.eps
83 OLD SOUTH ROAD,r6i4q,"-70.07133,41.26168",1197,common,-,/Users/mikebaker/ack_json/common_bg.eps
1 CHICORY PLACE,3zllw,"-70.07781,41.26197",1278,common,-,/Users/mikebaker/ack_json/common_bg.eps
46 APPLETON ROAD,x5afw,"-70.10860,41.26162",1415,common,-,/Users/mikebaker/ack_json/common_bg.eps
90 SURFSIDE ROAD,3miqc,"-70.09865,41.26151",1468,common,-,/Users/mikebaker/ack_json/common_bg.eps
13B WITHERSPOON DRIVE,tuage,"-70.07162,41.26335",1497,common,-,/Users/mikebaker/ack_json/common_bg.eps
5 WHITE STREET,rynoh,"-70.08501,41.25252",1782,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
70 MIACOMET ROAD,u2knm,"-70.10754,41.25488",1803,common,-,/Users/mikebaker/ack_json/common_bg.eps
60 NOBADEER AVENUE,zpymt,"-70.08051,41.24569",1852,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
49 NOBADEER AVENUE,3ico5,"-70.08237,41.24505",1860,epic,-,/Users/mikebaker/ack_json/epic_bg.eps
22 WALBANG AVENUE,qjjei,"-70.14140,41.25044",1866,epic,-,/Users/mikebaker/ack_json/epic_bg.eps
26 MONOHANSETT ROAD,cpsa5,"-70.07328,41.25263",1968,common,-,/Users/mikebaker/ack_json/common_bg.eps
74 SOMERSET ROAD,68371,"-70.11638,41.26544",2015,common,-,/Users/mikebaker/ack_json/common_bg.eps
6B ESSEX ROAD,hgt1q,"-70.10370,41.26687",2028,common,-,/Users/mikebaker/ack_json/common_bg.eps
13 FRIENDSHIP LANE,g1nlx,"-70.10910,41.26816",2046,common,-,/Users/mikebaker/ack_json/common_bg.eps
4 PALMER FARM,8ljdw,"-70.15162,41.26954",2060,common,-,/Users/mikebaker/ack_json/common_bg.eps
33 1/2 BARTLETT ROAD,kljlw,"-70.10710,41.26712",2186,common,-,/Users/mikebaker/ack_json/common_bg.eps
22 SESAPANA ROAD,ia7w8,"-70.06993,41.26693",2205,common,-,/Users/mikebaker/ack_json/common_bg.eps
2 THIRTY ACRES LANE,vm8iq,"-70.10246,41.26687",2254,epic,Land Rover Repair,/Users/mikebaker/ack_json/epic_bg.eps
7 PERRY LANE,3ff6p,"-70.10580,41.26630",2296,common,-,/Users/mikebaker/ack_json/common_bg.eps
13B PARK CIRCLE,iovr9,"-70.05993,41.26598",2417,common,-,/Users/mikebaker/ack_json/common_bg.eps
15 1/2 MARY ANN DRIVE,t63qd,"-70.06526,41.26419",2501,common,-,/Users/mikebaker/ack_json/common_bg.eps
7 TOMS WAY,l48m7,"-70.08529,41.26545",2565,common,-,/Users/mikebaker/ack_json/common_bg.eps
34R HOOPER FARM ROAD,1qw57,"-70.09383,41.26760",2674,common,-,/Users/mikebaker/ack_json/common_bg.eps
41D OLD SOUTH ROAD,zlk53,"-70.08226,41.26612",2685,common,-,/Users/mikebaker/ack_json/common_bg.eps
9 CEDAR CIRCLE,ivyqp,"-70.10324,41.26858",2746,common,-,/Users/mikebaker/ack_json/common_bg.eps
2 MACLEAN LANE,fy2aq,"-70.10053,41.26914",2855,common,-,/Users/mikebaker/ack_json/common_bg.eps
14A CYNTHIA LANE,lpfgt,"-70.10582,41.26575",2862,common,-,/Users/mikebaker/ack_json/common_bg.eps
31R HOOPER FARM ROAD,ryl0a,"-70.09405,41.26847",2954,common,-,/Users/mikebaker/ack_json/common_bg.eps
32 HINSDALE ROAD,nv7zq,"-70.07581,41.26691",2979,common,-,/Users/mikebaker/ack_json/common_bg.eps
9A NORQUARTA DRIVE,xj8kj,"-70.10099,41.26018",3273,common,-,/Users/mikebaker/ack_json/common_bg.eps
1 MILLER LANE,9el6e,"-70.06774,41.25909",3358,epic,Nantucket Inn,/Users/mikebaker/ack_json/epic_bg.eps
192 HUMMOCK POND ROAD,unura,"-70.13864,41.26128",3378,common,-,/Users/mikebaker/ack_json/common_bg.eps
22 AHAB DRIVE,34uo1,"-70.13820,41.25751",3418,common,-,/Users/mikebaker/ack_json/common_bg.eps
3 MILES COURT,8k68i,"-70.07886,41.25996",3466,common,-,/Users/mikebaker/ack_json/common_bg.eps
3 STURGIS PINE LANE,sgr1t,"-70.08759,41.25885",3478,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
20 LOVERS LANE,1rsd8,"-70.07910,41.26079",3605,common,-,/Users/mikebaker/ack_json/common_bg.eps
1 MILLER LANE,k9457,"-70.06639,41.25852",3650,dupe,-,/Users/mikebaker/ack_json/common_bg.eps
1 MILLER LANE,k2ywq,"-70.06639,41.25852",3657,dupe,-,/Users/mikebaker/ack_json/common_bg.eps
107 HUMMOCK POND ROAD,ukow2,"-70.12387,41.26953",3714,common,-,/Users/mikebaker/ack_json/common_bg.eps
1 BLUE FLAG PATH,su438,"-70.09123,41.26079",3785,common,-,/Users/mikebaker/ack_json/common_bg.eps
20 SESAPANA ROAD,n7cgc,"-70.06936,41.26694",3807,common,-,/Users/mikebaker/ack_json/common_bg.eps
19 GOLF VIEW DRIVE,7aycl,"-70.12612,41.26066",3900,common,-,/Users/mikebaker/ack_json/common_bg.eps
1 MILLER LANE,vj9ct,"-70.06759,41.25928",3971,dupe,-,/Users/mikebaker/ack_json/common_bg.eps
133B OLD SOUTH ROAD,ba1bs,"-70.06314,41.26046",3987,common,-,/Users/mikebaker/ack_json/common_bg.eps
24 MIZZENMAST EXTENSION,5cqtd,"-70.10975,41.26135",4089,common,-,/Users/mikebaker/ack_json/common_bg.eps
7 GARDNER PERRY LANE,etads,"-70.09844,41.27541",4204,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
3 CATO LANE,jdz0w,"-70.10585,41.27641",4258,common,-,/Users/mikebaker/ack_json/common_bg.eps
1D FREEDOM SQUARE,ccjxm,"-70.09465,41.27418",4346,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
57 PROSPECT STREET,31n1o,"-70.10145,41.27518",4356,Legendary,Nantucket Cottage Hospital,/Users/mikebaker/ack_json/legendary_bg.eps
50 MILESTONE ROAD,yprfi,"-70.06861,41.27122",4633,common,-,/Users/mikebaker/ack_json/common_bg.eps
5 BEAR STREET,w0qzk,"-70.09404,41.27519",4643,common,-,/Users/mikebaker/ack_json/common_bg.eps
12 WASHINGTON AVENUE,8ls4x,"-70.19904,41.27259",4753,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
118C ORANGE STREET,z9ta5,"-70.09279,41.27520",4878,common,-,/Users/mikebaker/ack_json/common_bg.eps
49 PLEASANT STREET,7qrcb,"-70.09817,41.27653",4964,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
24 TENNESSEE AVENUE,eqbcv,"-70.19482,41.27570",4985,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
99 HUMMOCK POND ROAD,hxnud,"-70.12403,41.27114",5090,common,-,/Users/mikebaker/ack_json/common_bg.eps
96 ORANGE STREET,r5zux,"-70.09482,41.27691",5144,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
36 LONG POND DRIVE,ysrnj,"-70.18447,41.27486",5216,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
20 SOMERSET ROAD,qx1vy,"-70.10977,41.27247",5240,common,-,/Users/mikebaker/ack_json/common_bg.eps
35 SURFSIDE ROAD,mc76y,"-70.10030,41.26984",5268,common,-,/Users/mikebaker/ack_json/common_bg.eps
9A COW POND LANE,mdliy,"-70.09556,41.27082",5348,common,-,/Users/mikebaker/ack_json/common_bg.eps
63 SURFSIDE ROAD,ar3qe,"-70.10066,41.26506",5518,common,-,/Users/mikebaker/ack_json/common_bg.eps
3 PARKER LANE,ol44q,"-70.09528,41.26423",5596,common,-,/Users/mikebaker/ack_json/common_bg.eps
14 WEST YORK LANE,qm9xu,"-70.09938,41.27601",5623,common,-,/Users/mikebaker/ack_json/common_bg.eps
15 APPLETON ROAD,aflwy,"-70.10791,41.26516",5726,common,-,/Users/mikebaker/ack_json/common_bg.eps
4 KITTIWAKE LANE,oi8rk,"-70.07276,41.26473",5778,common,-,/Users/mikebaker/ack_json/common_bg.eps
20A YOUNGS WAY,9po03,"-70.08367,41.26509",5798,common,-,/Users/mikebaker/ack_json/common_bg.eps
6 KITTIWAKE LANE,hqtay,"-70.07284,41.26463",5822,common,-,/Users/mikebaker/ack_json/common_bg.eps
98C HINSDALE ROAD,z3cxu,"-70.06044,41.26396",5962,common,-,/Users/mikebaker/ack_json/common_bg.eps
21 TENNESSEE AVENUE,i5gef,"-70.19463,41.27519",5968,common,-,/Users/mikebaker/ack_json/common_bg.eps
3 TOOMBS COURT,ddym5,"-70.08232,41.26559",6019,common,-,/Users/mikebaker/ack_json/common_bg.eps
29 BREWSTER ROAD,zwgty,"-70.07613,41.27583",6053,epic,-,/Users/mikebaker/ack_json/epic_bg.eps
12 WEST YORK LANE,xzguu,"-70.09932,41.27616",6066,common,-,/Users/mikebaker/ack_json/common_bg.eps
19B ESSEX ROAD,6cpcf,"-70.10480,41.26602",6124,common,-,/Users/mikebaker/ack_json/common_bg.eps
92 GOLDFINCH DRIVE,fq09q,"-70.07489,41.26406",6167,common,-,/Users/mikebaker/ack_json/common_bg.eps
94 PLEASANT STREET,stky6,"-70.09539,41.27407",6212,common,-,/Users/mikebaker/ack_json/common_bg.eps
1 SPARROW DRIVE,2w4aw,"-70.07115,41.26448",6237,common,-,/Users/mikebaker/ack_json/common_bg.eps
26 MONOMOY ROAD,mwbmg,"-70.08218,41.27566",6461,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
9 TICCOMA WAY,1chh9,"-70.08863,41.26538",6487,common,-,/Users/mikebaker/ack_json/common_bg.eps
5 TETAWKIMMO DRIVE,pzqvd,"-70.05583,41.27244",6521,common,-,/Users/mikebaker/ack_json/common_bg.eps
15 VESTAL STREET,28uop,"-70.10634,41.28070",6559,common,-,/Users/mikebaker/ack_json/common_bg.eps
92 VESTAL STREET,547te,"-70.11938,41.27801",6689,common,-,/Users/mikebaker/ack_json/common_bg.eps
4 COON STREET,3og0o,"-70.09486,41.27774",6765,common,-,/Users/mikebaker/ack_json/common_bg.eps
37 FAIR STREET,67szz,"-70.09935,41.28019",6840,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
176 MADAKET ROAD,ms2lt,"-70.15639,41.28112",6922,common,-,/Users/mikebaker/ack_json/common_bg.eps
19 PLEASANT STREET,eck69,"-70.10153,41.27967",6936,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
134 MAIN STREET,1ngj6,"-70.10656,41.28103",6960,common,-,/Users/mikebaker/ack_json/common_bg.eps
3 JOY STREET,mneci,"-70.10556,41.27866",7056,common,-,/Users/mikebaker/ack_json/common_bg.eps
44 PINE STREET,49otf,"-70.09844,41.27858",7058,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
92 WASHINGTON STREET,319tb,"-70.09302,41.27935",7145,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
66 MADAKET ROAD,5y2af,"-70.12112,41.28204",7326,common,-,/Users/mikebaker/ack_json/common_bg.eps
9 HAWTHORNE LANE,cjdte,"-70.11817,41.27765",7603,common,-,/Users/mikebaker/ack_json/common_bg.eps
19 NORTH PASTURE LANE,c9eii,"-70.05569,41.28236",7652,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
7 PAUPAMO WAY,mfi9i,"-70.10510,41.27184",7774,common,-,/Users/mikebaker/ack_json/common_bg.eps
4 QUAKER ROAD,022th,"-70.10769,41.28119",7793,common,-,/Users/mikebaker/ack_json/common_bg.eps
3 GOLD STAR DRIVE,ji03h,"-70.08886,41.27010",7853,common,-,/Users/mikebaker/ack_json/common_bg.eps
9 AURORA WAY,ard8o,"-70.11997,41.27288",7918,common,-,/Users/mikebaker/ack_json/common_bg.eps
95 HUMMOCK POND ROAD,d6e8q,"-70.12352,41.27150",7931,common,-,/Users/mikebaker/ack_json/common_bg.eps
11 STARBUCK ROAD,pppip,"-70.19492,41.27234",7932,common,-,/Users/mikebaker/ack_json/common_bg.eps
5 MEADOW LANE,7fp37,"-70.11062,41.28349",7942,common,-,/Users/mikebaker/ack_json/common_bg.eps
15 BISHOPS RISE,c4an4,"-70.15016,41.28400",7957,common,-,/Users/mikebaker/ack_json/common_bg.eps
2 INDIA STREET,unv2r,"-70.09927,41.28392",8040,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
18 TASHAMA LANE,9u32t,"-70.10251,41.26996",8067,common,-,/Users/mikebaker/ack_json/common_bg.eps
24 WASHINGTON STREET,alxc8,"-70.09617,41.28217",8220,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
39 LIBERTY STREET,se6gw,"-70.10352,41.28320",8225,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
2 NORTH LIBERTY STREET,z89f8,"-70.10436,41.28400",8308,common,-,/Users/mikebaker/ack_json/common_bg.eps
17 DEER RUN ROAD,g9ulf,"-70.13070,41.27039",8338,common,-,/Users/mikebaker/ack_json/common_bg.eps
96 MAIN STREET,3k5b9,"-70.10228,41.28144",8363,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
8 NORTH PASTURE LANE EXTENSION,zz8rk,"-70.06063,41.28066",8386,common,-,/Users/mikebaker/ack_json/common_bg.eps
19 WASHINGTON STREET,zzw79,"-70.09703,41.28240",8443,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
17 WASHINGTON AVENUE,whvtw,"-70.19728,41.27309",8498,common,-,/Users/mikebaker/ack_json/common_bg.eps
9 JUNIPER HILL,srsr5,"-70.07167,41.28190",8549,common,-,/Users/mikebaker/ack_json/common_bg.eps
5 SOUTH VALLEY ROAD,ug5w9,"-70.07398,41.28194",8775,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
49 SOUTH CAMBRIDGE STREET,ch24y,"-70.18643,41.27300",8798,common,-,/Users/mikebaker/ack_json/common_bg.eps
19 BALTIMORE STREET,zpy6g,"-70.20012,41.27318",8804,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
65 MAIN STREET,8kkng,"-70.09987,41.28308",8910,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
19 PILGRIM ROAD,sqew9,"-70.11433,41.28835",9086,common,-,/Users/mikebaker/ack_json/common_bg.eps
5 NORTH ROAD,ys7eb,"-70.07336,41.28554",9188,epic,-,/Users/mikebaker/ack_json/epic_bg.eps
25 DOUGLAS WAY,zb132,"-70.15669,41.28802",9356,common,-,/Users/mikebaker/ack_json/common_bg.eps
4 WINGSPREAD LANE,hektv,"-70.05679,41.29160",9405,epic,-,/Users/mikebaker/ack_json/epic_bg.eps
4 WESTMINSTER STREET,ucukc,"-70.10310,41.28486",9434,epic,Town,/Users/mikebaker/ack_json/epic_bg.eps
194 CLIFF ROAD,hfz1c,"-70.13011,41.28674",9457,common,-,/Users/mikebaker/ack_json/common_bg.eps
12 ALMANACK POND ROAD,5fvqm,"-70.00966,41.29595",9480,common,-,/Users/mikebaker/ack_json/common_bg.eps
8 CLIFF ROAD,a9t1k,"-70.10262,41.28772",9558,common,-,/Users/mikebaker/ack_json/common_bg.eps
56 EEL POINT ROAD,z98cq,"-70.15861,41.29146",9574,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
82 CLIFF ROAD,dge6r,"-70.11318,41.29092",9579,common,-,/Users/mikebaker/ack_json/common_bg.eps
90 WEST CHESTER STREET,la64e,"-70.11527,41.28583",9598,common,-,/Users/mikebaker/ack_json/common_bg.eps
28 NORTH LIBERTY STREET,neyoz,"-70.10667,41.28516",9701,common,-,/Users/mikebaker/ack_json/common_bg.eps
74 CENTER STREET,fn5mp,"-70.10210,41.28679",9809,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
26 NORTH BEACH STREET,euk0l,"-70.10170,41.28942",9820,common,-,/Users/mikebaker/ack_json/common_bg.eps
4 OLD NORTH WHARF,37wsj,"-70.09715,41.28452",9906,epic,Wharf,/Users/mikebaker/ack_json/epic_bg.eps
3 WEST CHESTER STREET,umn30,"-70.10331,41.28748",9932,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
12 WESTMINSTER STREET,swf5d,"-70.10269,41.28536",9972,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
22 BROAD STREET,qekhh,"-70.10015,41.28492",10023,epic,Nantucket Land Bank HQ,/Users/mikebaker/ack_json/epic_bg.eps
14 EEL POINT ROAD,hdcnb,"-70.14342,41.28547",10029,common,-,/Users/mikebaker/ack_json/common_bg.eps
23 CLIFF ROAD,naf1z,"-70.10362,41.28890",10191,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
11 WEST CHESTER STREET,q6k4f,"-70.10375,41.28755",10202,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
8 PILGRIM COURT,k02ld,"-70.11255,41.28803",10217,common,-,/Users/mikebaker/ack_json/common_bg.eps
3 GIFFORD STREET,aldq7,"-70.10758,41.28857",10272,common,-,/Users/mikebaker/ack_json/common_bg.eps
19A WEST CHESTER STREET,0a7lf,"-70.10453,41.28763",10287,common,-,/Users/mikebaker/ack_json/common_bg.eps
14 LILY STREET,3kbg3,"-70.10382,41.28505",10297,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
4 BROAD STREET,hgi0s,"-70.09778,41.28542",10327,epic,Nantucket Bike Shop,/Users/mikebaker/ack_json/epic_bg.eps
16 FULLING MILL ROAD,krwhp,"-70.04629,41.29214",10382,common,-,/Users/mikebaker/ack_json/common_bg.eps
10 SHERBURNE TURNPIKE,l2hso,"-70.11135,41.29300",10390,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
38R PROSPECT STREET,97gsy,"-70.10198,41.27807",10421,common,-,/Users/mikebaker/ack_json/common_bg.eps
23 PLEASANT STREET,eufw4,"-70.10058,41.27894",10434,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
1 PAUL JONES ROAD,li8wr,"-70.11048,41.29033",10473,common,-,/Users/mikebaker/ack_json/common_bg.eps
76 EEL POINT ROAD,krbdu,"-70.16064,41.29094",10475,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
5B STONE BARN WAY,p882r,"-70.10482,41.29163",10538,common,-,/Users/mikebaker/ack_json/common_bg.eps
25 CAPAUM POND ROAD,0aevc,"-70.14148,41.29028",10564,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
2 EAST HALLOWELL LANE,4qcrx,"-70.11962,41.29321",10728,epic,-,/Users/mikebaker/ack_json/epic_bg.eps
101 EEL POINT ROAD,ri6wk,"-70.16818,41.29389",10739,epic,-,/Users/mikebaker/ack_json/epic_bg.eps
39 WASHINGTON STREET,9ef3v,"-70.09532,41.28070",10842,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
114 CLIFF ROAD,6ihvc,"-70.11842,41.28975",10953,common,-,/Users/mikebaker/ack_json/common_bg.eps
16 DELANEY ROAD,hx42d,"-70.11021,41.29051",11062,common,-,/Users/mikebaker/ack_json/common_bg.eps
6 CANDLE HOUSE LANE,s4dfh,"-70.10151,41.27910",11085,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
151 POLPIS ROAD,fv1ao,"-70.04653,41.28975",11367,common,-,/Users/mikebaker/ack_json/common_bg.eps
2 NORTH MILL STREET,9bwwh,"-70.10247,41.27915",11398,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
9 HALLOWELL LANE,dgo5r,"-70.12083,41.29382",11555,epic,-,/Users/mikebaker/ack_json/epic_bg.eps
12 BRANT POINT ROAD,bi1uv,"-70.10183,41.29116",11597,common,-,/Users/mikebaker/ack_json/common_bg.eps
9 CABOT LANE,l6ngn,"-70.10629,41.29128",11604,common,-,/Users/mikebaker/ack_json/common_bg.eps
9 SESACHACHA ROAD,c1hwz,"-69.98147,41.30383",11627,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
4 WEETAMO ROAD,wei4v,"-70.01991,41.31330",11682,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
82 POCOMO ROAD,8s7em,"-70.02885,41.31356",11685,epic,-,/Users/mikebaker/ack_json/epic_bg.eps
53 POCOMO ROAD,vebmk,"-70.02257,41.31548",11695,epic,-,/Users/mikebaker/ack_json/epic_bg.eps
108R WAUWINET ROAD,e15q3,"-69.99772,41.32782",11832,epic,-,/Users/mikebaker/ack_json/epic_bg.eps
4 KING STREET,3e1gy,"-69.96411,41.26377",11965,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
7 SUNSET RIDGE LANE,0bkoh,"-69.96843,41.26434",11977,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
38 SHELL STREET,4titn,"-69.96448,41.26461",11999,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
27 WEST SANKATY ROAD,juu86,"-69.96651,41.26504",12065,rare,-,/Users/mikebaker/ack_json/rare_bg.eps
17 NEW STREET,vbv28,"-69.96602,41.26346",12072,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
25 COFFIN STREET,1a1e3,"-69.96718,41.26604",12124,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
5 HYDRANGEA LANE,dc57i,"-69.97472,41.26360",12125,common,Sconset,/Users/mikebaker/ack_json/common_bg.eps
34A BURNELL STREET,83x74,"-69.97003,41.26613",12134,common,Sconset,/Users/mikebaker/ack_json/common_bg.eps
26 KING STREET,wc5sn,"-69.96612,41.26401",12138,common,Sconset,/Users/mikebaker/ack_json/common_bg.eps
36 SHELL STREET,3wgyy,"-69.96404,41.26455",12172,common,Sconset,/Users/mikebaker/ack_json/common_bg.eps
21 BANK STREET,ndyep,"-69.96274,41.26351",12183,common,Sconset,/Users/mikebaker/ack_json/common_bg.eps
26 COFFIN STREET,2yqpq,"-69.96743,41.26545",12215,rare,Town,/Users/mikebaker/ack_json/rare_bg.eps
4 MEETINGHOUSE LANE,eyyu6,"-69.96445,41.27064",12305,common,Sconset,/Users/mikebaker/ack_json/common_bg.eps
32 SANKATY ROAD,8u2vy,"-69.96426,41.26959",12316,common,Sconset,/Users/mikebaker/ack_json/common_bg.eps
2 LENOX WAY,oyqkc,"-69.97470,41.27082",12329,common,-,/Users/mikebaker/ack_json/common_bg.eps
91 SANKATY ROAD,w21yd,"-69.96369,41.27624",12331,common,Sconset,/Users/mikebaker/ack_json/common_bg.eps